Артикул;Наименование;Ширина;Длина;
15030430;Скатерть;200;200;690
15030780;Салфетка;40;40;820
4.02163E+12;Полотенце махровое;70;140;920
4.02163E+12;Полотенце махровое;50;100;990
4.02163E+12;Полотенце махровое RIO;70;140;1390
4.02163E+12;Полотенце махровое RIO;50;100;1390
4.02163E+12;Полотенце махровое RIO (красный);70;140;1390
4.02163E+12;Полотенце махровое RIO (красный);50;100;1490
4.02163E+12;"Полотенце махровое ""Любимый дом""";45;80;1490
6.66163E+12;Полотенце палитра;50;90;1950
6.69963E+12;Полотенце махровое;50;90;2290
4.02161E+12;"Подушка стеганная ""Сова""";50;70;2390
4.0219E+12;Одеяло комфорт Лайн;140;205;2390
4.0219E+12;Одеяло Вин;140;205;2890
4.0999E+12;Одеяло Стеганное;140;205;2890
4.0999E+12;Покрывало;150;200;2990
4.09956E+12;Одеяло FASHION FANTASY;140;205;2990
4.09955E+12;Подушка FASHION FANTASY;70;70;2990
4.09951E+12;"Одеяло ЗИМНЕЕ ""ВЕРБЛЮЖЬЯ ШЕРСТЬ""";140;205;2990
4.02222E+12;Полотенце махровое Г/К;70;140;3490
4.02163E+12;Полотенце махровое BERLIN UNI ВАНИЛЬ;70;140;3490
4.02163E+12;Полотенце махровое BERLIN UNI ВАНИЛЬ;50;70;490
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG ТЕРРАКОТ;70;140;490
4.02993E+12;Полотенце махровое RIO UNI VOLLFARBIG ТЕРРАКОТ;50;70;490
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG КРАСНЫЙ;70;140;490
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG КРАСНЫЙ;50;70;490
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG ТЕМНО-СИНИЙ;70;140;590
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG ТЕМНО-СИНИЙ;50;70;590
4.02163E+12;Полотенце махровоеRIO UNI VOLLFARBIG СИНИЙ;70;140;590
4.02163E+12;Полотенце махровоеRIO UNI VOLLFARBIG СИНИЙ;50;70;590
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG ЖЕЛТЫЙ;70;140;490
4.02193E+12;Полотенце махровое RIO UNI VOLLFARBIG ЖЕЛТЫЙ;50;70;590
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG СВЕТЛО-ЗЕЛЕНЫЙ;70;140;490
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG СВЕТЛО-ЗЕЛЕНЫЙ;50;70;590
4.02163E+12;Полотенце махровое RIO UNI VOLLFARBIG СЕРО-КОРИЧНЕВЫЙ;70;140;420
