Артикул;Название;Цвет;Рисунок;Состав;Ширина;Длина;Цена
16314397;Шарлотта;красный;вензель;100% полиэстер;280;145;1576
17812558;Шарлотта;шампань;гладь;100% шелк;220;100;281
16306418;Тюль "Семечки";кремовый;гладь;полиэфир;280;100;698
16306400;Тюль "Классика";розовый;вензель;полиэфир;280;100;698
16306397;Тюль "Классика";кремовый;вензель;полиэфир;280;100;698
15113729;Тюль органза ажур;шампань;узоры;полиэстер;280;100;710
18475717;Тюль  "Ветки";кремовый;узоры;полиэстер;280;100;714
18475688;Тюль "Мелкий Вензель";белый;узоры;органза;280;100;714
16306311;Тюль "Пузырьки";кремовый;геометрия;полиэфир;280;100;732
16246574;Тюль "Ветка";экрю;однотонный;полиэстер;280;100;733
16246566;Тюль "Ветка";белый;однотонный;полиэстер;280;100;733
15113833;Ткань Эмили";сиреневый;цветы;полиэстер;280;100;736
16174890;Ткань "Робина";зеленый;геометрия;70% хлопок, 30% полиэстер;280;100;750
16174814;Ткань "Амор";красный;геометрия;70% хлопок, 30% полиэстер;280;100;750
16174769;Ткань "Робина";фиолетово-зелёный;цветы;70% хлопок, 30% полиэстер;280;100;750
16174646;Ткань "Шалимар";мультиколор;детский;70% хлопок, 30% полиэстер;280;100;750
16174638;Ткань "Шалимар";мультиколор;геометрия;70% хлопок, 30% полиэстер;280;100;750
16174611;Тюль "Робина";оранжевый;цветы;полиэстер;280;100;750
16174603;Ткань "Робина";оранжево-фиолетовый;геометрия;70% хлопок, 30% полиэстер;280;100;750
16174574;Тюль "Баллу";оранжево-коричневый;геометрия;полиэстер;300;100;750
16174507;Тюль "Амор";оранжевый;цветы;полиэстер;280;100;750
16174401;Тюль "Амор";фиолетовый;цветы;полиэстер;280;100;750
16174371;Тюль "Робина";сине-бирюзовый;цветы;полиэстер;280;100;750
16174347;Тюль "Бельмонт";синий;цветы;полиэстер;280;100;750
16313976;Тюль "Селина";бежевый;однотонный;полиэстер;295;100;756
16246697;Ткань блэкаут ;светло-серый;однотонный;полиэстер;280;100;758
16240877;Тюль сетка плиссе;белый;однотонный;полиэстер;300;100;763
16240851;Тюль сетка плиссе;экрю;однотонный;полиэстер;300;100;763
16246751;Ткань жаккард двухсторнний;коричневый;вензель;полиэстер;280;100;779
16246742;Ткань жаккард двухсторнний;бежевый;вензель;полиэстер;280;100;779
16246654;Ткань рельефный сатен;золотой;однотонный;полиэстер;280;100;782
16246371;Ткань рельефный сатен;бежевый;однотонный;полиэстер;280;100;782
16246638;Тюль с вышивкой "Ромб";белый;однотонный;полиэстер;280;100;804
16246929;Ткань микрсатен;золотистый;однотонный;полиэстер;280;100;808
